,acc,loss,val_acc,val_loss
0,0.894888888889,0.375492936506,0.953833333333,0.16582460996
1,0.950981481481,0.169109329113,0.969666666667,0.111483224187
2,0.964759259259,0.119523444977,0.973166666667,0.0956840217896
3,0.972981481481,0.0915314407985,0.977333333333,0.0821534008604
4,0.978444444444,0.0725443482047,0.975833333333,0.0869286121552
5,0.982351851852,0.0604170141473,0.975666666667,0.0801240283484
6,0.985851851852,0.0491093086958,0.976,0.0850393283125
7,0.988388888889,0.041424186013,0.978666666667,0.072592689578
8,0.990685185185,0.0342030266047,0.9795,0.0750379675267
9,0.992388888889,0.029006227235,0.9795,0.0756250084202
10,0.993685185185,0.0245519016245,0.980166666667,0.0722431169893
11,0.995203703704,0.0192771346767,0.979333333333,0.0745467381144
12,0.995722222222,0.0172832420321,0.9815,0.0678372536654
13,0.997351851852,0.013897472984,0.982,0.0697034655598
14,0.997666666667,0.0116343452282,0.9815,0.0707205200288
15,0.998388888889,0.00962355258289,0.981166666667,0.0721458006919
16,0.999018518519,0.00776833263705,0.9805,0.0736122463158
17,0.999407407407,0.0066425706482,0.982333333333,0.0697454443533
18,0.999518518519,0.00552445960589,0.981833333333,0.0701273350707
19,0.999537037037,0.00474856374712,0.981833333333,0.0742465207447
20,0.999796296296,0.00385501407674,0.981666666667,0.0722094305386
21,0.99987037037,0.00356580157474,0.981666666667,0.0750359710084
22,0.999962962963,0.00297747697375,0.982166666667,0.0734966298021
23,0.999888888889,0.00267910828971,0.982,0.074234011698
24,0.999944444444,0.00242253067797,0.982,0.0742692391717
25,1.0,0.00214224471699,0.982,0.0742938627822
26,0.999981481481,0.00193904802364,0.981333333333,0.0742482628411
27,1.0,0.00181371162064,0.982166666667,0.0743425408903
28,1.0,0.00166813407271,0.982333333333,0.0746105564283
29,1.0,0.00154947799261,0.981666666667,0.0753844869953
